aether-gateway-core  | 2026/02/12 15:39:52 [PERF] enabled=true interval=10s
aether-gateway-core  | 2026/02/12 15:40:02 [PERF] window=10s down{mbps=0.00 rps=0 read_us=0.0 parse_us=0.0 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 15:40:12 [PERF] window=10s down{mbps=0.00 rps=0 read_us=0.0 parse_us=0.0 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 15:40:22 [PERF] window=10s down{mbps=0.00 rps=0 read_us=0.0 parse_us=0.0 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 15:40:32 [PERF] window=10s down{mbps=0.03 rps=106 read_us=93521.9 parse_us=2.7 dec_us=1.7} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 15:40:42 [PERF] window=10s down{mbps=0.00 rps=65 read_us=154124.5 parse_us=2.8 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 15:40:52 [PERF] window=10s down{mbps=0.01 rps=74 read_us=140545.3 parse_us=2.7 dec_us=1.3} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 15:41:02 [PERF] window=10s down{mbps=0.00 rps=61 read_us=163964.6 parse_us=3.7 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 15:41:12 [PERF] window=10s down{mbps=0.00 rps=64 read_us=155492.4 parse_us=3.3 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 15:41:22 [PERF] window=10s down{mbps=0.01 rps=74 read_us=136845.9 parse_us=6.1 dec_us=3.2} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 15:41:32 [PERF] window=10s down{mbps=0.00 rps=61 read_us=165792.5 parse_us=2.8 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 15:41:42 [PERF] window=10s down{mbps=0.00 rps=65 read_us=152328.1 parse_us=3.2 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 15:41:52 [PERF] window=10s down{mbps=0.01 rps=69 read_us=141780.8 parse_us=2.9 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
